Estas personas no formaron parejas por ser menores de 10 años
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
ELIAS ROJAS, 9, M, A, SAN PABLO
MARTA ARIAS, 9, F, M, GOICOECHEA
JUAN SEGURA, 8, M, F, DESAMPARADOS
JUAN BAUTISTA CASTILLO, 10, M, A, CENTRAL
EIDA MADRIGAL, 9, F, A, MATINA
CLAUDINA CASCANTE, 10, F, M, ESCAZU
MAURO ZUï¿½IGA, 10, M, M, PEREZ ZELEDON
ZOILA ALVAREZ, 8, F, F, POCOCI
ALICE PANINSKI, 8, F, F, TIBAS
TERESA MONTERO, 9, F, N, CORREDORES
NORA GONZALEZ, 9, F, M, CENTRAL
SERVANDA SANCHEZ, 9, F, F, CENTRAL
HAYDEE SANDI, 9, F, N, CURRIDABAT
GLADYS RODRIGUEZ, 10, F, N, DESAMPARADOS
JOSE JOAQUIN MONTERO, 10, M, M, PEREZ ZELEDON
BEATRIZ RAWSON, 8, F, A, CURRIDABAT
ISMAEL TORRES, 8, M, M, PEREZ ZELEDON
ALBERTINA ZARATE, 10, F, N, ASERRI
MIGUEL VALVERDE, 9, M, A, PURISCAL
RAFAEL VARGAS, 8, M, A, TURRIALBA
Estas personas no formaron parejas por ser asexuales
MANUEL DELGADO, 66, M, N, PURISCAL
MARIA SALAS, 42, F, N, ATENAS
ISABEL VEGA, 73, F, N, GOICOECHEA
ADINA CARPIO, 12, F, N, DESAMPARADOS
CLAUDIA MANUELA ESPINOZA, 38, F, N, CENTRAL
MARINA QUIROS, 76, F, N, ALAJUELITA
LUCILA PORRAS, 26, F, N, PURISCAL
ABDENAGO MATA, 41, M, N, PEREZ ZELEDON
DORA DURAN, 29, F, N, MORAVIA
CELERINO MONTES, 77, M, N, ALAJUELITA
FABIO ACUï¿½A, 53, M, N, SANTA ANA
CABIRIA MORGAN, 43, F, N, CENTRAL
ROSA CRUZ, 62, F, N, PEREZ ZELEDON
GUILLERMINA MORALES, 14, F, N, CENTRAL
